PROJECT_NUMBER,PROJECT_EN,DEVELOPER_NUMBER,DEVELOPER_EN,START_DATE,END_DATE,ADOPTION_DATE,PRJ_TYPE_EN,PROJECT_VALUE,ESCROW_ACCOUNT_NUMBER,PROJECT_STATUS,PERCENT_COMPLETED,INSPECTION_DATE,COMPLETION_DATE,DESCRIPTION_EN,AREA_EN,ZONE_EN,CNT_LAND,CNT_BUILDING,CNT_VILLA,CNT_UNIT,MASTER_PROJECT_EN
"4225","Creek Haven","1224","DUBAI CREEK HARBOUR L.L.C","2026-03-21 00:00:00","2030-03-31 00:00:00","2025-11-20 00:13:56","Normal","776338870","12750204830001","ACTIVE","0","2025-11-11 17:04:35","","The project is a multi-story residential building consisting of
Basement, ground floor with an attached nursery, 3 podium levels 
Tower(A) - 30 floors
Roof level
With Total Residential Units 274
","Al Khairan First","Dubai Development Authority (DDA)","0","0","0","594",""
"4230","Azizi Noura","1002","AZIZI DEVELOPMENTS L.L.C","2026-03-04 00:00:00","2028-03-04 00:00:00","","Normal","79662000","","PENDING","0","2025-11-12 12:19:27","","3B + G + 3P + 8 + R
COMMERCIAL / RESIDENTIAL","Jabal Ali Industrial Second","","0","0","0","269",""
"4232","Azizi Gabriel","1002","AZIZI DEVELOPMENTS L.L.C","2026-03-04 00:00:00","2028-03-04 00:00:00","","Normal","74542000","","PENDING","0","2025-11-12 14:41:38","","4B + G + 3P + 8 + R
COMMERCIAL / RESIDENTIAL","Jabal Ali Industrial Second","","0","0","0","234",""
"4233","Azizi Leily","1002","AZIZI DEVELOPMENTS L.L.C","2026-03-04 00:00:00","2028-09-30 00:00:00","","Normal","68932000","011180331014","PENDING","2","2026-03-17 17:12:05","","3B+G+4P+15+LR+UR+MR , RESIDENTIAL BUILDING","Al Jadaf","","0","0","0","272",""
"4235","Art House Hills by Adaan and Tuscany ","2530","ART HOUSE HILLS RESIDENCES DEVELOPMENT L.L.C","2026-02-01 00:00:00","2028-12-01 00:00:00","2026-01-13 13:51:46","Normal","180000000","0012511641002","ACTIVE","0","2025-11-17 15:04:09","","Proposed 2B+G+17F+Roof Residential cum Retail Building","Al Barshaa South Third","Dubai Development Authority (DDA)","0","0","0","656",""
"4236","ZYRA HILLS","2127","LARAIX DEVELOPERS L.L.C","2026-02-04 00:00:00","2028-03-30 00:00:00","2025-12-12 09:24:58","Normal","22452000","3718486175103","ACTIVE","0","2025-11-22 10:37:24","","Residential Building (B+G+7+R)","Warsan Fourth","Trakhees","0","0","0","81",""
"4237","Serro The Heights","1211","EMAAR DEVELOPMENT P.J.S.C.","2026-03-19 00:00:00","2030-03-31 00:00:00","2025-11-25 17:24:21","Normal","914304924","10653441830005","ACTIVE","0","2025-11-14 16:51:09","","Residential development consisting of 383 villas (G+2)
","Al Yelayiss 5","Dubai Municipality","0","0","383","0",""
"4239","MIA TOWER","1943","STAMN REAL ESTATE DEVELOPMENT L.L.C","2026-02-28 00:00:00","2028-02-29 00:00:00","","Normal","138055000","","PENDING","0","2026-01-27 10:26:13","","G+3P+20+R","Bukadra","","0","0","0","210",""
"4241","AVIOR","2278","ACUBE NOVA REAL ESTATE DEVELOPMENT L.L.C","2026-01-01 00:00:00","2030-01-01 00:00:00","","Normal","770000000","","PENDING","3","2025-11-28 10:05:57","","Tower A 3B+G+M+10P+73 Floors+7Mech. Floors and
Tower B 3B+G+M+10P+73 Floors+7Mech. Floors","Al Wasl","","1","0","0","0",""
"4248","Omya Residences","1364","PANTHEON ELYSEE REAL ESTATE DEVELOPMENT L.L.C","2026-03-01 00:00:00","2028-06-30 00:00:00","","Normal","100500000","","PENDING","0","2025-12-10 12:04:30","","B+G+2P+12+R","Jabal Ali First","","0","0","0","416","VOXA RESIDENCES"
"4251","Villa dell Arte","2289","AMBERTON RESIDENCES REAL ESTATE L.L.C","2026-03-25 00:00:00","2027-12-27 00:00:00","2026-01-08 15:08:16","Normal","51000000","012018986831","ACTIVE","0","2025-12-18 17:55:30","","Residential Building (G+2P+8+R)","Palm Deira","Trakhees","0","0","0","64",""
"4253","Haus of Tenet","2434","IRTH URBAN TWO DEVELOPMENT L.L.C","2026-03-01 00:00:00","2028-08-31 00:00:00","","Normal","250000000","","PENDING","20.62","2025-11-25 14:18:47","","G+3P+17+R","Business Bay","","1","0","0","0",""
"4254","Avion 100","2142","SKY VIEW DEVELOPMENT L.L.C","2026-01-31 00:00:00","2028-05-31 00:00:00","","Normal","42750000","","PENDING","0","2025-11-24 12:49:31","","G+4+R Residential ","Madinat Al Mataar","","0","0","0","100",""
"4255","Nad Al Sheba Gardens Phase 11","1762","NAS ESTATES L.L.C","2026-02-01 00:00:00","2029-07-01 00:00:00","2025-11-27 12:08:08","Normal","690000000","0205865423614","ACTIVE","0","2025-11-25 11:39:04","","Residential project with total number of 210 Townhouses & Villas (G+2) as follows:
	32 units - (Eight 4-Plex) Townhouse 3-Bedroom
	78 units - (Thirteen 6-Plex) Townhouse 3-Bedroom
	27 of 4-Bedroom Villa 
	73 of 5-Bedroom Villa 
","Nad Al Shiba First","Dubai Development Authority (DDA)","0","0","210","0",""
"4258","THE CAPE","1740","BARARI THREE REAL ESTATE DEVELOPMENT L.L.C","2026-01-15 00:00:00","2028-12-31 00:00:00","2026-01-29 00:00:00","Normal","260000000","0323632507002","ACTIVE","0","2025-11-26 14:51:30","","Residential building (2B+G+8+Roof) on Plot no. 645-3379 at Albarari, wadi al safa 3, Dubai-UAE ","Wadi Al Safa 3","","0","0","0","288",""
"4259","Artistry One Residences","972","SELECT GLOBAL DEVELOPMENT L.L.C","2026-02-09 00:00:00","2029-02-09 00:00:00","2026-01-20 14:50:17","Normal","313259000","0204977502032","ACTIVE","0","2025-12-29 13:04:51","","227 residential units + 5 retail units","Zaabeel Second","Dubai Development Authority (DDA)","0","0","0","232",""
"4261","Artistry Two Residences","972","SELECT GLOBAL DEVELOPMENT L.L.C","2026-02-09 00:00:00","2029-02-09 00:00:00","2026-01-20 14:46:55","Normal","315133000","0204977502034","ACTIVE","0","2025-12-16 14:28:21","","building contain 235 residential units","Zaabeel Second","Dubai Development Authority (DDA)","0","0","0","235",""
"4269","Mareva The Oasis","1211","EMAAR DEVELOPMENT P.J.S.C.","2026-03-22 00:00:00","2030-02-28 00:00:00","2025-12-08 10:42:18","Normal","1018977074","10653441830007","ACTIVE","0","2025-11-28 17:12:32","","Residential development consisting of 311 villas (B+G+2)
","Me'Aisem Second","Trakhees","0","0","311","0",""
"4270","Mareva 2 The Oasis","1211","EMAAR DEVELOPMENT P.J.S.C.","2026-03-22 00:00:00","2030-02-28 00:00:00","2025-12-08 10:46:09","Normal","1094034876","3538215410324","ACTIVE","0","2025-11-28 17:23:38","","Residential development consisting of 347 villas (B+G+2)
","Me'Aisem Second","Trakhees","1","0","346","0",""
"4273","Ayami Residence, By Ayat Development","2182","AYAT REAL ESTATE DEVELOPMENT L.L.C","2026-02-01 00:00:00","2029-03-31 00:00:00","","Normal","122500000","","PENDING","0","2025-12-23 17:08:09","","(G+1P+6F+R) Residential Building","Al Warsan First","","0","0","0","376",""
"4274","City Walk Crestlane 5","1109","CITYWALK RESIDENTIAL 1 L.L.C","2026-02-25 00:00:00","2030-04-25 00:00:00","2025-12-10 12:03:58","Normal","328912708","10502351920030","ACTIVE","0","2025-12-03 16:56:46","","The project is a standard residential apartment development located at Citywalk. It introduces one level shared basement and ground with 2 retails directly accessed from the building facade adjoining the main lobby.
Building A: 2B+G+12+R: comprising 81 units, and
Building B: 2B+G+11+R: comprising 78 units each. In total, the residences include 159 apartments, which offer a mix of unit types: 1-bedroom, 2-bedroom, 3-bedroom, 4-bedroom and duplex apartments.
","Al Wasl","Dubai Development Authority (DDA)","0","0","0","161",""
"4275","Art House Private Residences By Viva","2158","VIVA REAL ESTATE DEVELOPMENT L.L.C","2026-02-15 00:00:00","2028-02-15 00:00:00","2026-01-13 09:51:10","Normal","39000000","01434279265","ACTIVE","0","2025-12-10 19:10:27","","B+G+4+R","Wadi Al Safa 3","Dubai Municipality","0","0","0","121",""
"4277","Valoria The Oasis","1211","EMAAR DEVELOPMENT P.J.S.C.","2026-01-22 00:00:00","2029-12-31 00:00:00","2025-12-19 10:43:17","Normal","1345996005","9009221997653064","ACTIVE","0","2025-12-08 10:25:54","","Residential development consisting of 257 villas (B+G+2)
","Me'Aisem Second","Trakhees","0","0","257","0",""
"4280","Palace Residences Hillside B","984","DUBAI HILLS ESTATE L.L.C","2026-02-03 00:00:00","2029-10-31 00:00:00","2025-12-15 16:29:52","Normal","305070300","9009223791259021","ACTIVE","0","2025-12-08 16:53:35","","Bassment + Ground Floor + Podum + 1Residential Building + 5Townhouses G+ 1
Tower: B + G + P + 18 floors, 282 Residential Units
Townhouses: 5 Residential Units
","Hadaeq Sheikh Mohammed Bin Rashid","Dubai Development Authority (DDA)","0","0","0","287",""
"4281","SERENIA DISTRICT - EAST","1068","PALMA HOMES REAL ESTATE DEVELOPMENT L.L.C","2026-01-02 00:00:00","2030-06-30 00:00:00","2026-01-27 09:27:51","Normal","1515000000","0012004307011","ACTIVE","0","2025-12-09 15:54:28","","Residential with Retail (Shared B+G+3P+1st Floor including entertainment + (T2 & T6 (25 Residential FL) & T3 & T5 (23 Residential FL) & T2 & T4 20 Residential FL) +R +UR)","Al Thanyah Fifth","","0","0","0","813",""
"4285","Reef 995","1944","REEF LUXURY DEVELOPMENT L.L.C","2026-02-01 00:00:00","2028-11-30 00:00:00","","Normal","80000000","","PENDING","0","2025-12-09 16:38:21","","2B+G+3P+17 Residential Building
Consist of Studio with Balcony =88Rooms, 1 Bedroom with Balcony =191 Rooms, 2 Bedroom with Balcony =47 Rooms + 3 Bedroom with Balcony = 8 Rooms
Total of 334 Rooms
","Wadi Al Safa 5","","0","0","0","347",""
"4286","City Walk Crestlane 4","1109","CITYWALK RESIDENTIAL 1 L.L.C","2026-02-25 00:00:00","2030-04-25 00:00:00","2025-12-23 13:10:29","Normal","408641023","4031227018211002","ACTIVE","0","2025-12-11 18:20:09","","The project is a standard residential apartment development located at City walk. It introduces one level shared basement and ground with 3 retails directly accessed from the building facade adjoining the main lobby.
Building A: B+G+12+R: comprising 110 units, and
Building B: B+G+10+R: comprising 91 units each. In total, the residences include 201 apartments, which offer a mix of unit types: 1-bedroom, 2-bedroom, 3-bedroom, 4-bedroom and duplex apartments.
","Al Wasl","Dubai Development Authority (DDA)","0","0","0","204",""
"4299","Binghatti Luxuria","1051","Binghatti Developers FZE","2026-01-01 00:00:00","2027-07-30 00:00:00","2026-01-08 15:00:02","Normal","162000000","019500000880","ACTIVE","0","2025-12-15 16:28:29","","3B + G + 4P + 24 RESIDENTIAL FLOORS + 1MECH. + ROOF","Al Barsha South Fifth","Trakhees","0","0","0","469",""
"4300","WINDSOR HOUSE II","1117","ELLINGTON PROPERTIES DEVELOPMENT L.L.C","2026-02-12 00:00:00","2029-07-31 00:00:00","2026-02-16 11:24:28","Normal","318873250","019000093750","ACTIVE","0","2025-12-15 12:23:39","","B+LG+UG+10 Floors with 2 Buildings (Tower A & Tower B)","Madinat Al Mataar","Dubai South","0","0","0","424",""
"4302","Barari Parks By Bahat","2017","BAHAT REAL ESTATE DEVELOPMENT L.L.C","2026-01-15 00:00:00","2028-03-31 00:00:00","2026-02-04 12:54:31","Normal","30000000","0205897563805","ACTIVE","0","2025-12-18 07:49:03","","A building of 2B+G+6+R includes 47 units of Apartments and 6 retail shops with several amenities. ","Wadi Al Safa 3","","0","0","0","52",""
"4303","Binghatti Etherea","1051","Binghatti Developers FZE","2026-01-01 00:00:00","2027-12-31 00:00:00","2026-01-27 13:45:39","Normal","115000000","019500000878","ACTIVE","0","2025-12-15 16:24:24","","B + G + 4P + 18 RESIDENTIAL FLOORS + MECH. + ROOF","Al Barsha South Fourth","Trakhees","0","0","0","239",""
"4304","Golf Terrace Residences By ASAK","1888","ASAK REAL ESTATE DEVELOPMENT L.L.C","2026-01-02 00:00:00","2027-10-02 00:00:00","2025-12-31 10:46:54","Normal","33000000","1010106928","ACTIVE","0","2025-12-15 17:34:48","","G+2P+7F+R","Me'Aisem First","Dubai Development Authority (DDA)","0","0","0","105",""
"4306","Seacliff by Imtiaz","2259","IMTIAZ LUXURY REAL ESTATE DEVELOPMENT L.L.C","2026-02-15 00:00:00","2028-08-15 00:00:00","2026-02-25 08:48:18","Normal","135755200","200927479","ACTIVE","0","2025-12-17 08:45:21",""," G+2P+14+RF - Residential Building","Palm Deira","","0","0","0","170",""
"4307","Babylon Tower","1191","HERITAGE REAL ESTATE DEVELOPMENT L.L.C","2026-01-10 00:00:00","2027-12-31 00:00:00","","Normal","70300000","","PENDING","","","","Basement+Ground+14 floor+roof","Al Thanyah First","","1","0","0","0",""
"4313","Nirvana Residences - I","1230","MERAKI REAL ESTATE DEVELOPMENT L.L.C  ","2026-03-01 00:00:00","2028-12-31 00:00:00","2026-02-26 15:03:43","Normal","150000000","001582237449601","ACTIVE","0","2025-12-23 22:33:24","","Project Description: 2B+G+2P+16+R Residential","Me'Aisem First","Dubai Development Authority (DDA)","0","0","0","310",""
"4314","Rabdan Gardens","2568","RABDAN GARDENS REAL ESTATE DEVELOPMENTS L.L.C","2026-03-01 00:00:00","2028-03-01 00:00:00","2026-02-04 11:37:35","Normal","58000000","001582228849501","ACTIVE","0","2025-12-25 11:54:47","","G+2P+8
88 Residential units
2 Retails","Al Satwa","","0","0","0","90",""
"4316","Casa Altia","2533","CASA MAGNUM REAL ESTATE DEVELOPMENT L.L.C","2026-01-01 00:00:00","2028-06-30 00:00:00","2026-02-12 14:59:32","Normal","42000000","019500000872","ACTIVE","0","2025-12-24 13:50:04","","B+G+2P+12 Residential Building","Jabal Ali First","","0","0","0","77",""
"4319","Project Maybach","1051","Binghatti Developers FZE","2026-01-14 00:00:00","2027-06-30 00:00:00","2026-01-08 16:13:44","Normal","480000000","001582229468301","ACTIVE","0","2025-12-25 16:41:44","","B + G + Mezz. + 5P + 24RESIDENTIAL FLOORS + MECH. + ROOF","Nad Al Shiba First","Dubai Municipality","0","0","0","831",""
"4320","Maybach Ultimate Luxury ","1051","Binghatti Developers FZE","2026-01-14 00:00:00","2027-08-31 00:00:00","2026-01-14 14:07:14","Normal","700000000","001582230478601","ACTIVE","0","2025-12-25 16:48:00","","B + G + Mezz. + 5P + 19 RES.Floors(Tower A) + 25 Res.Floors (Tower B) + 1MECH. + ROOF","Nad Al Shiba First","Dubai Municipality","0","0","0","1233",""
"4321","Maybach Six","1051","Binghatti Developers FZE","2026-01-14 00:00:00","2027-08-31 00:00:00","2026-01-14 12:07:34","Normal","900000000","001582230478501","ACTIVE","0","2025-12-25 16:50:06","","B + G + Mezz. + 5P + 30 RES.Floors(Tower A) + 34 Res.Floors (Tower B) + 2MECH. + ROOF","Nad Al Shiba First","Dubai Municipality","0","0","0","1878",""
"4325","At 85 Residences","1954","SCOPE PROPERTIES DUBAI BRANCH","2026-01-15 00:00:00","2028-03-15 00:00:00","2026-02-11 08:52:18","Normal","234000000","011180340013","ACTIVE","0","2025-12-30 11:58:24","","G+P+6","Jabal Ali First","","0","0","0","261",""
"4326","Cedarwood Estates","2249","JGE REAL ESTATE L.L.C","2026-02-28 00:00:00","2028-10-04 00:00:00","2026-01-23 12:00:08","Normal","917488094","0205915786606","ACTIVE","0","2026-01-02 09:10:25","","G+1+R villas","Me'Aisem First","Trakhees","0","0","121","0",""
"4327","Binghatti Skyterraces","1051","Binghatti Developers FZE","2026-01-01 00:00:00","2027-10-31 00:00:00","2026-02-03 11:30:17","Normal","720000000","001582233255201","ACTIVE","0","2026-01-01 18:32:29","","2B + G + 6P + 40 RESIDENTIAL FLOORS + 2MECH. + ROOF","Al Hebiah First","","0","0","0","1587",""
"4330","OXFORD COVE","1178","IMAN DEVELOPERS L.L.C","2026-03-01 00:00:00","2028-10-30 00:00:00","","Normal","71500001","","PENDING","0","2026-02-04 17:11:02","","B + G + 1P + 5F + R","Al Barsha South Fourth","","0","0","0","212",""
"4331","Linea by Holm","2428","HOLM AVENUE REAL ESTATE DEVELOPMENT L.L.C S.O.C","2026-02-01 00:00:00","2028-06-15 00:00:00","2026-01-30 11:28:45","Normal","67980000","0205933054508","ACTIVE","0","2026-01-06 11:33:38","","G+2P+8FLRS+ R ( Residential )","Al Satwa","","0","0","0","210",""
"4332","Sanctuary by Prestige One","2509","PRESTIGE SANCTUARY REAL ESTATE DEVELOPMENT L.L.C","2026-03-01 00:00:00","2028-12-31 00:00:00","","Normal","80000000","","PENDING","0","2026-01-06 12:23:26","","B+G+3P+20+RF","Ras Al Khor Industrial First","","1","0","0","0",""
"4333","The Key","2191","HOMEDGE REAL ESTATE DEVELOPMENT L.L.C","2026-03-20 00:00:00","2028-03-20 00:00:00","","Normal","23200000","","PENDING","0","2026-01-06 14:15:22","","G+2P+8+ROOF","Al Satwa","","0","0","0","54",""
"4334","Axilla","2191","HOMEDGE REAL ESTATE DEVELOPMENT L.L.C","2026-03-20 00:00:00","2028-03-20 00:00:00","","Normal","23200000","","PENDING","","","","G+2P+8+ROOF","Al Satwa","","1","0","0","0",""
"4335","The Hudson","2502","CRYSTAL PRIME REAL ESTATE DEVELOPMENT L.L.C","2026-02-15 00:00:00","2029-02-14 00:00:00","","Normal","28500000","0205945602403","PENDING","0","2026-01-16 18:40:10","","Residential Building [G+1P+5+R] with Swimming Pool and Gym at First floor ","Al Barsha South Fourth","","0","0","0","96",""
"4336","ENRE RESIDENCE BY IMTIAZ","2579","IMTIAZ SOUTH REAL ESTATE DEVELOPMENT L.L.C","2026-02-15 00:00:00","2028-08-15 00:00:00","2026-03-02 12:30:35","Normal","101461500","200927493","ACTIVE","0","2026-01-08 13:21:18","","B+G+9 - RESIDENTIAL BUILDING","Madinat Al Mataar","Dubai South","0","0","0","170",""
"4341","Nami Island Project","2325","NAMI ISLAND DEVELOPMENT L.L.C","2026-01-12 00:00:00","2029-01-12 00:00:00","","Normal","400000000","","PENDING","","","","Project Description (English)
Nami Island is a mid-density, waterfront residential development designed for regulated real-estate structuring, including escrow and related compliance requirements under Dubai Land Department (DLD). The project comprises a finite collection of island-based villas supported by shared infrastructure and a central clubhouse facility.

The development includes the following villa classifications:

Water Villas ? 4-bedroom residences located along the internal waterfront perimeter of the island.

Beach Villas ? 5-bedroom residences positioned adjacent to shoreline zones within the island boundary.

Mansion (Maison) Villas ? 6-bedroom, multi-level residences designed with larger built-up communal areas.

Ancillary components forming part of the overall master plan include: buggy parking, service rooms, MEP zones, a diesel generator and fuel storage, sewerage treatment plant, hydrant and water tank systems, a helipad, marina setback, and designated enhanced view corridors as indicated in the project layout. The project is structured as a controlled residential build within defined plot limits, for documentation and escrow administration purposes.","World Islands","","1","0","0","0",""
"4346","THE MERIVA COLLECTION","2423","CRESTARC DEVELOPERS L.L.C","2026-02-16 00:00:00","2031-12-31 00:00:00","","Normal","1100000000","","PENDING","0","2026-02-19 13:24:45","","a project consisting of 7 buildings ","Palm Deira","","1","0","0","0",""
"4350","South Lofts by Premier Choice","1397","P C I REAL ESTATE DEVELOPERS L.L.C","2026-01-15 00:00:00","2029-01-30 00:00:00","2026-03-26 09:49:01","Normal","22000000","0205959438202","PENDING","0","2026-01-19 09:32:43","","G + P + P. High Level + 6 + R","Saih Shuaib 2","Dubai Development Authority (DDA)","0","0","0","149",""
"4351","DELLA X","2481","DELLA LUXURY DEVELOPER L.L.C","2026-02-01 00:00:00","2028-12-25 00:00:00","","Normal","210000000","","PENDING","","","","DELLA X LUXURY PROJECT IN PALM","Palm Jumeirah","","0","0","0","153",""
"4352","Nad Al Sheba Gardens Phase 12","1762","NAS ESTATES L.L.C","2026-03-01 00:00:00","2029-08-01 00:00:00","2026-03-11 12:12:54","Normal","690000000","0205865423616","ACTIVE","0","2026-01-20 11:09:59","","Residential project with total number of 97 (G+2) villas as follows: 

- 55 of 4 Bedroom Villas
- 42 of 5 Bedroom Vllas 
","Nad Al Shiba First","Dubai Development Authority (DDA)","0","0","97","0",""
"4353","STORIES BY MIRFA","2511","MIRFA HARMONY REAL ESTATE DEVELOPMENT L.L.C","2026-03-01 00:00:00","2028-03-31 00:00:00","2026-03-18 12:14:39","Normal","38100000","0205946210003","ACTIVE","0","2026-01-16 17:32:30","","Basement+Ground+6Floor+ROOF","Madinat Al Mataar","Dubai South","0","0","0","100",""
"4356","HQA By Arista","2516","ARISTA ONE REAL ESTATE DEVELOPMENT L.L.C","2026-03-15 00:00:00","2028-06-30 00:00:00","2026-02-10 14:06:05","Normal","55000000","3718514835103","ACTIVE","0","2026-01-19 12:22:10","","3B+G+7+R","Jabal Ali First","","0","0","0","52",""
"4358","Tulip Oasis 11 Tower 2","2107","A M E REAL ESTATE DEVELOPMENT L.L.C","2026-02-01 00:00:00","2028-09-30 00:00:00","","Normal","75000000","","PENDING","0","2026-01-22 13:03:14","","G + P + 10","Wadi Al Safa 3","","1","0","0","0",""
"4360","CHAVELLE BY IMTIAZ","1641","IMTIAZ GHD REAL ESTATE DEVELOPMENT L.L.C","2026-03-15 00:00:00","2029-03-15 00:00:00","2026-03-02 12:31:01","Normal","118134359","1001225996258016","ACTIVE","0","2026-01-20 11:53:32","","G+4P+20 Retail and Residential Building","Bukadra","","0","0","0","145",""
"4370","Binghatti Spectre","1051","Binghatti Developers FZE","2026-02-01 00:00:00","2028-03-31 00:00:00","","Normal","500000000","","PENDING","0","2026-02-05 16:16:29","","1","Al Jadaf","","1","0","0","0",""
"4371","Coventry Curve","2053","G F S REAL ESTATE L.L.C","2026-03-01 00:00:00","2028-06-15 00:00:00","","Normal","53000000","19596391","PENDING","0","2026-02-04 18:49:05","","1B+G+5F+R","Saih Shuaib 2","","0","0","0","246",""
"4390","AMALI RESIDENCES","2109","AMALI CANAL L.L.C","2026-02-15 00:00:00","2030-12-30 00:00:00","","Normal","544267002","","PENDING","0","2026-02-05 12:31:49","","Project consists of 1 tower, G+5P+48 Residential floor levels located in Al Wasl, Plot No. 3431268, Dubai, United Arab Emirates. This building is designed to have concrete structure and block with internal and external finishes.","Al Wasl","","1","0","0","0",""
"4391","SOL TERRA CASA I","999","S O L PROPERTIES DEVELOPMENT L.L.C","2026-03-15 00:00:00","2028-03-15 00:00:00","","Normal","10039324","","PENDING","0","2026-02-27 14:41:40","","(G+2F+R) Townhouses - 13 Residential Units","Al Barsha South Fourth","","1","0","0","0",""
"4392","Coventry 49","2190","GFS WONDERS DEVELOPERS L.L.C","2026-03-15 00:00:00","2028-05-15 00:00:00","","Normal","21000000","","PENDING","0","2026-02-11 10:55:39","","PROPOSED RESIDENTIAL BUILDING (G+4+ROOF) ","Madinat Al Mataar","","0","0","0","51",""
"4393","Binghatti Skyflame 1","1051","Binghatti Developers FZE","2026-02-01 00:00:00","2027-12-31 00:00:00","2026-03-26 19:27:26","Normal","465000000","","PENDING","0","2026-02-11 16:30:25","","G + 5P + 27 RESIDENTIAL FLOORS + MECH. + ROOF","Wadi Al Safa 3","Dubai Development Authority (DDA)","0","0","0","1407",""
"4394","Samana Business Hub","2071","SAMANA PREMIUM REAL ESTATE DEVELOPMENT L.L.C","2026-03-01 00:00:00","2029-09-30 00:00:00","2026-03-23 17:09:01","Normal","194189567","6555949331502","ACTIVE","0","2026-02-11 09:57:31","","3B+5P+G+18F+R
","Jabal Ali Industrial Second","Trakhees","0","0","0","323",""
"4395","Globna by Crystal Bay Azure","2491","CRYSTAL BAY AZURE DEVELOPMENT L.L.C","2026-03-01 00:00:00","2028-02-28 00:00:00","","Normal","20000000","","PENDING","0","2026-03-07 12:55:17","","B+G+R","Madinat Al Mataar","","1","0","0","0",""
"4397","Samana Island","2587","SAMANA LUX REAL ESTATE DEVELOPMENTS L.L.C","2026-03-01 00:00:00","2029-09-30 00:00:00","","Normal","384832590","","PENDING","","","","G+4 Mixed Use Development ( Residential + Commercial )
","World Islands","","1","0","0","0",""
"4399","Binghatti Skyflame 2","1051","Binghatti Developers FZE","2026-02-01 00:00:00","2027-12-31 00:00:00","2026-03-24 11:51:01","Normal","267000000","6555887192010","ACTIVE","0","2026-02-11 16:32:36","","G + 5P + 22 RESIDENTIAL FLOORS + MECH. + ROOF","Wadi Al Safa 3","Dubai Development Authority (DDA)","0","0","0","801",""
"4400","Nejm 1","1849","DANF DEVELOPMENTS L.L.C","2026-01-01 00:00:00","2027-06-30 00:00:00","2026-03-05 10:18:47","Normal","20000000","3718506121803","ACTIVE","0","2026-02-14 08:38:39","","Residential Building B + G + 5 Floors and Roof   ","Wadi Al Safa 3","","0","0","0","55",""
"4401","Rabdan Square","2567","RABDAN SQUARE DEVELOPMENTS L.L.C","2026-03-01 00:00:00","2028-03-01 00:00:00","2026-03-26 15:21:43","Normal","35000000","001582241303101","PENDING","0","2026-02-16 13:36:33","","B+G+5 Mixed use 30 Residential units + 3 Retail units = 33 Units","Nad Al Shiba First","Dubai Municipality","0","0","0","36",""
"4402","Jadaf Beach Oasis","1002","AZIZI DEVELOPMENTS L.L.C","2026-02-13 00:00:00","2029-02-09 00:00:00","","Normal","50000000","","PENDING","0","2026-02-13 14:16:09","","4B+G+2P+15F+PENTHOUSE+ROOF
RESIDENTIAL BUILDING","Al Jadaf","","1","0","0","0",""
"4403","Azizi Rose","1002","AZIZI DEVELOPMENTS L.L.C","2026-03-04 00:00:00","2028-03-04 00:00:00","","Normal","67212000","","PENDING","0","2026-02-13 11:53:28","","PROPOSED 4B+G+UG+3P+8+R
RESIDENTIAL BUILDING","Jabal Ali Industrial Second","","1","0","0","0",""
"4405","Binghatti Square 1","1051","Binghatti Developers FZE","2026-03-01 00:00:00","2027-06-30 00:00:00","","Normal","87000000","","PENDING","0","2026-02-18 13:01:30","","B + G + 7 RESIDENTIAL FLOORS + ROOF","Wadi Al Safa 3","","1","0","0","0",""
"4408","Binghatti Square 2","1051","Binghatti Developers FZE","2026-03-01 00:00:00","2027-06-30 00:00:00","","Normal","174000000","","PENDING","0","2026-02-18 13:11:09","","B + G + 7 RESIDENTIAL FLOORS + ROOF","Wadi Al Safa 3","","1","0","0","0",""
"4409","Binghatti Square 3","1051","Binghatti Developers FZE","2026-03-01 00:00:00","2027-06-30 00:00:00","","Normal","284000000","","PENDING","0","2026-02-18 13:13:33","","B + G + 7 RESIDENTIAL FLOORS + ROOF","Wadi Al Safa 3","","1","0","0","0",""
"4410","One Central Dubai","2518","One Central Development FZE","2026-01-01 00:00:00","2031-09-30 00:00:00","","Normal","6476940243","","PENDING","","","","4B+G+4PO+83+R 
4B+G+4PO+68+R 
4B+G+4PO+50+R ","Trade Center Second","","1","0","0","0",""
"4417","THE ATELIER ","1939","E L P G REAL ESTATE DEVELOPMENT L.L.C","2026-02-19 00:00:00","2031-12-31 00:00:00","","Normal","612000000","","PENDING","","","","COMMERCIAL TOWER ","Business Bay","","1","0","0","0",""
"4425","ARLINGTON PARK II BY MAJID","1655","MAJID DEVELOPMENTS L.L.C","2026-03-01 00:00:00","2028-03-30 00:00:00","","Normal","36500000","","PENDING","0","2026-02-25 10:29:50","","G+2B+11+R","Wadi Al Safa 5","","0","0","0","129",""
"4429","Havencia","1814","IRAZ REAL ESTATE DEVELOPMENT L.L.C","2026-03-01 00:00:00","2028-03-31 00:00:00","","Normal","60000000","","PENDING","0","2026-02-24 13:33:44","","B+G+3P+13+R","Wadi Al Safa 5","","1","0","0","0",""
"4435","1WOOD RESIDENCE 2","1579","OBJECT ONE REAL ESTATE DEVELOPMENT L.L.C","2026-03-15 00:00:00","2027-10-20 00:00:00","","Normal","46820000","","PENDING","0","2026-02-27 15:46:22","","UG+G+5P+2(O)+11(R)+R
","Al Barsha South Fourth","","1","0","0","0",""
